Feature,Coefficient,Mean,StdDev
Gender,-0.04317401721732755,0.4980392156862745,0.4999961553100934
Hyperlipidemia,0.9390714605918523,0.03137254901960784,0.1743224374187676
Alkaline Phosphatase (ALP),0.12691287919729846,72.99568627450981,24.57651559205809
Intracellular Water (ICW),0.9005676459426761,23.61294117647059,5.439033685123888
Alanin Aminotransferaz (ALT),0.4045014867642442,26.501960784313727,27.938465227935836
Vitamin D,-0.8378080151256742,21.196084967333334,10.125250837638953
C-Reactive Protein (CRP),1.0505679643454624,1.8953333333333333,5.340796480465403
Bone Mass (BM),-1.4314734433762797,2.797647058823529,0.5086644883486912
Aspartat Aminotransferaz (AST),-0.7164036848327053,21.370588235294118,15.76646097926995
Extracellular Fluid/Total Body Water (ECF/TBW),-0.5451061235598442,42.19207843137255,3.260909411487377
Low Density Lipoprotein (LDL),-0.004272946546874645,126.40196078431373,38.887825052730776
Body Mass Index (BMI),0.41090584701643,29.016470588235297,5.272381172632258
